role_title,source,external_id,company,title,url,track,industry,description,fetched_at
Backend Engineer Intern,adzuna,5882629510,Lyft,"Software Engineer Intern, Backend (Summer 2027 - SF)",https://www.adzuna.com/land/ad/5882629510?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=CFD255626547B490D21B0DC1A415ABAFD9AABEFC,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5858104646,Prophet Security,"Software Engineer, Backend Intern",https://www.adzuna.com/details/5858104646?utm_medium=api&utm_source=7a1ab04d,Backend,Consulting,"Software Engineering Intern — Summer 2027 About Us At Prophet Security, we’re not just building a platform that automates complex security tasks—we’re building a company where every team member directly impacts customer success. You’ll work closely with our customers, understand their needs, and see firsthand how your contributions make a difference. Prophet Security’s founding team brings more than 30 years of cybersecurity experience from leading companies, including Abnormal Security, Expel,…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5885770509,WEX,"Backend Software Engineer Intern - C#, Cloud Security & AI (Undergraduate)",https://www.adzuna.com/details/5885770509?utm_medium=api&utm_source=7a1ab04d,Backend,Fintech,"WEX is a global commerce platform that has been simplifying the way businesses operate for over 40 years. Our purpose is simple: to reduce administrative burdens, streamline payments, and manage mobility. With a team of over 7,200 professionals across 16 countries. Our specialties are employee benefits, business payments, and fleet/mobility solutions . We support more than 20 million SaaS accounts, 8 million Health Savings Accounts, and 19 million vehicles worldwide. We're a growing company wit…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5882510758,Lyft,"Software Engineer Intern, Backend (Summer 2027 - SF)",https://www.adzuna.com/land/ad/5882510758?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=297F3275CC21FD28F8F9CBA0EDB84ADC2D153225,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5376829522,N1,"Software Engineer Intern (Backend, Rust)",https://www.adzuna.com/details/5376829522?utm_medium=api&utm_source=7a1ab04d,Backend,General Technology,"About N1: N1 is the first hyper-performant and horizontally scalable blockchain network designed to enable trustless computing at internet scale. N1 is comprised of a team spanning backgrounds from Harvard, CMU, DFINITY, VMWare, Galaxy Digital, and more, and is backed by top-tier institutions like Founders Fund, Kraken Ventures, SALT, Amber Group, and more. Position Overview: We're seeking a Software Engineer intern with a focus on backend systems in Rust. This role will involve the development…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5886134684,Robinhood,"Software Engineering Intern, Backend (Summer 2027)",https://www.adzuna.com/details/5886134684?utm_medium=api&utm_source=7a1ab04d,Backend,Fintech,"Join us in building the future of finance. Our mission is to democratize finance for all. An estimated $124 trillion of assets will be inherited by younger generations in the next two decades. The largest transfer of wealth in human history. If you’re ready to be at the epicenter of this historic cultural and financial shift, keep reading. About the team  role We are building an elite team, applying frontier technologies to the world's biggest financial problems. We're looking for bold thinkers…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5882335378,Lyft,"Software Engineer Intern, Backend (Summer 2027 - SF)",https://www.adzuna.com/details/5882335378?utm_medium=api&utm_source=7a1ab04d,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5896218734,Rippling,Software Engineer Intern - Backend Focused - Summer 2027,https://www.adzuna.com/details/5896218734?utm_medium=api&utm_source=7a1ab04d,Backend,Enterprise Software,"About Rippling Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even t…",2026-09-24T04:50:51.043Z
Full Stack Engineer Intern,adzuna,5880111710,talentpluto,Full Stack Engineering Intern,https://www.adzuna.com/details/5880111710?utm_medium=api&utm_source=7a1ab04d,Full-stack,Consumer Tech,"Location: New York, NY Work Model: Onsite (in-person) Industry: AI recruiting and talent marketplace (B2B SaaS) Compensation: $35–$50 per hour About the Company TalentPluto is a Y Combinator-backed startup building the hiring stack for high-growth companies. We run two connected products: a talent network that places engineering, go-to-market, and operations people into fast-moving startups, and an AI recruiting tool that lets a hiring team run candidate search, tiered enrichment, rubric-based …",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5890642472,Rivet,Full-Stack Engineering Intern,https://www.adzuna.com/details/5890642472?utm_medium=api&utm_source=7a1ab04d,Full-stack,Fintech,"About Rivet Rivet is an AI-native accounting firm. In less than 3 years, we've built a T500 firm in the US, combining corporate and personal income tax, sales tax, R&D credits, and bookkeeping into a single, all-inclusive experience that eliminates the worst parts of tax season for real businesses and the people who run them. Our platform is designed to feel invisible: it guides clients through their tax to-dos, automates the drudgery for preparers, and gets out of the way when it's not needed.…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5617538412,Dryft,Full-Stack Engineering Intern,https://www.adzuna.com/details/5617538412?utm_medium=api&utm_source=7a1ab04d,Full-stack,General Technology,"DRYFT Dryft builds intelligent systems that automate complex human decisions in manufacturing operations We’re a small, talent-dense team with modest roots and a love for the physical world - cars, machines, planes. Our team includes graduates from Stanford, Berkeley, MIT, TUM , winners of Stanford TreeHacks , and builders of everything from robots and race cars to software with millions of downloads . We’re backed by the founders and leaders behind Amazon, Facebook, Stripe, Applied Intuition, …",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5896045769,Thrive Therapies Group,Remote - Full-Stack Engineer Intern,https://www.adzuna.com/details/5896045769?utm_medium=api&utm_source=7a1ab04d,Full-stack,Healthcare,"Full-Stack Engineer Intern Location: Remote, United States (Austin, TX preferred) Job Type: Part-time internship Schedule: 15-20 hours per week during the school year; potential full-time summer 2027 Pay: $25-$35 per hour Ship real code for an application platform that serves children with disabilities in schools. About Thrive Therapies Group Thrive Therapies Group is a pediatric healthcare company focused on making schools more equitable and inclusive for students with disabilities. Our missio…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5888839061,edgetrace.ai,AI Full-Stack Engineering Intern (Winter '26),https://www.adzuna.com/details/5888839061?utm_medium=api&utm_source=7a1ab04d,Full-stack,Consumer Tech,"About EdgeTrace YC W24 startup building AI-powered video management systems for law enforcement Real-Time Crime Centers and transportation departments. We help agencies search camera networks in natural language and detect and respond to threats in real time. Tech Stack Frontend: Next.js, React, TypeScript, gRPC-Web Backend: Nest.js, REST, Protocol Buffers, gRPC AI/ML: Python, PyTorch, TensorRT GPU: Custom CUDA kernels for video decoding and multi-stream inference Infrastructure: RabbitMQ, Baze…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5889008238,Gecko Robotics,Full Stack Software Engineering Intern,https://www.adzuna.com/details/5889008238?utm_medium=api&utm_source=7a1ab04d,Full-stack,Aerospace/Defense,"What We Do Gecko Robotics is helping the world’s most important organizations ensure the availability, reliability, and sustainability of critical infrastructure. Gecko's complete and connected solutions combine wall-climbing robots, industry-leading sensors, and an AI-powered data platform to provide customers with a unique window into the current and future health of their physical assets. This enables real-time decision making to increase the efficiency and safety of operations, promote miss…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5889387861,Lennox International,AI-Enabled Full-Stack Software Engineering Intern,https://www.adzuna.com/details/5889387861?utm_medium=api&utm_source=7a1ab04d,Full-stack,Automotive/Transportation,"Lennox (NYSE: LII) Driven by 130 years of legacy, HVAC and refrigeration success, Lennox provides our residential and commercial customers with industry-leading climate-control solutions. At Lennox, we win as a team, aiming for excellence and delivering innovative, sustainable products and services. Our culture guides us and creates a workplace where all employees feel heard and welcomed. Lennox is a global community that values each team member’s contributions and offers a supportive environme…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5896218652,Rippling,Full Stack Software Engineer Intern - Summer 2027,https://www.adzuna.com/details/5896218652?utm_medium=api&utm_source=7a1ab04d,Full-stack,Enterprise Software,"About Rippling Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even t…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5896218891,Rippling,Full Stack Software Engineer Intern - Summer 2027,https://www.adzuna.com/details/5896218891?utm_medium=api&utm_source=7a1ab04d,Full-stack,Enterprise Software,"About Rippling Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even t…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5896218828,Rippling,Full Stack Software Engineer Intern - Summer 2027,https://www.adzuna.com/details/5896218828?utm_medium=api&utm_source=7a1ab04d,Full-stack,Enterprise Software,"About Rippling Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even t…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5528388167,Akuna Capital,Software Engineer Intern - Full Stack Web,https://www.adzuna.com/land/ad/5528388167?se=Qo_ryNO38RGJcPq4vVuUOA&utm_medium=api&utm_source=7a1ab04d&v=3DFC236A520EF987153C4054BBF9110CAC4F3880,Full-stack,Fintech,"About Akuna: Akuna Capital is an innovative trading firm with a strong focus on collaboration, cutting-edge technology, data driven solutions, and automation. We specialize in providing liquidity as an options market-maker – meaning we are committed to providing competitive quotes that we are willing to both buy and sell. To do this successfully, we design and implement our own low latency technologies, trading strategies and mathematical models. Our Founding Partners first conceptualized Akuna…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5886140769,Intuit,Summer 2027: Software Engineering Intern - Full Stack,https://www.adzuna.com/land/ad/5886140769?se=Qo_ryNO38RGJcPq4vVuUOA&utm_medium=api&utm_source=7a1ab04d&v=F1612D5C30FF357324C947B7429BD151F98338B8,Full-stack,Fintech,"To qualify for US internships, you must be currently enrolled in a degree-seeking program with an expected graduation date after the internship/co-op ends. If you do not meet this requirement, we invite you to explore other opportunities available on our careers website. Intuit internships are 12 weeks throughout the summer. We have fixed start and end dates that are designed to work with various universities' academic calendars. Cohort 1: Monday, May 17 - Friday, August 6, 2027 (12 weeks) Coho…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5886140771,Intuit,Summer 2027: Software Engineering Intern - Full Stack,https://www.adzuna.com/land/ad/5886140771?se=Qo_ryNO38RGJcPq4vVuUOA&utm_medium=api&utm_source=7a1ab04d&v=D4F6FC450637D28A6D204DFDCFA9106F733932DD,Full-stack,Fintech,"To qualify for US internships, you must be currently enrolled in a degree-seeking program with an expected graduation date after the internship/co-op ends. If you do not meet this requirement, we invite you to explore other opportunities available on our careers website. Intuit internships are 12 weeks throughout the summer. We have fixed start and end dates that are designed to work with various universities' academic calendars. Cohort 1: Monday, May 17 - Friday, August 6, 2027 (12 weeks) Coho…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5895338968,Netic,Full-Stack Software Engineer (Product) - Intern - 2026-2027,https://www.adzuna.com/details/5895338968?utm_medium=api&utm_source=7a1ab04d,Full-stack,Enterprise Software,"Netic is the AI revenue engine for essential services who are the backbone of the American economy. With $43M in funding from Founders Fund, Greylock, Hanabi, and Dylan Field who led our Series B, we helped our customers book hundreds of thousands of jobs across services industries in North America. There are now companies operating entirely AI-first on Netic. You’ll join our team with relentless builders from Scale, Databricks, HRT, Meta, MIT, Stanford, and Harvard in bringing frontier AI to t…",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5856727932,Sage,Software Engineering Intern (Full Stack) – Summer 2027,https://www.adzuna.com/details/5856727932?utm_medium=api&utm_source=7a1ab04d,Full-stack,Healthcare,"About us The first baby boomers turn 80 this year. Over the next decade, the population most likely to need daily care will grow faster than the buildings, the staff, or the systems available to serve it. Sage is the care intelligence platform for senior living and skilled nursing. We connect the hardware senior care runs on, including nurse call, fall management, and wander management, with software caregivers actually use. That consistent use is what produces reliable data, and reliable data …",2026-09-24T04:52:46.366Z
Full Stack Engineer Intern,adzuna,5847963247,Capital One,"Intern, Full Stack Software Engineer - Team Sprout - Winter 2027",https://www.adzuna.ca/details/5847963247?utm_medium=api&utm_source=7a1ab04d,Full-stack,Fintech,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario, Intern, Full Stack Software Engineer - Team Sprout - Winter 2027 MUST INCLUDE YOUR RESUME AND UNOFFICIAL TRANSCRIPT IN ONE PDF DOCUMENT IN THE ATTACHMENT SECTION UNDER RESUME/CV WHEN YOU CREATE YOUR PROFILE TO APPLY. About Capital One Canada For 30 years, we’ve been on a mission to change banking for good. We challenge the traditional bank stereotype, fostering a culture where innovation thrives and bold ideas are celebrated. You’ll be e…",2026-09-24T04:53:10.997Z
Full Stack Engineer Intern,adzuna,5847962113,Capital One,"Intern, Full Stack Software Engineer - Team Pickle - Winter 2027",https://www.adzuna.ca/details/5847962113?utm_medium=api&utm_source=7a1ab04d,Full-stack,Fintech,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario, Intern, Full Stack Software Engineer - Team Pickle - Winter 2027 MUST INCLUDE YOUR RESUME AND UNOFFICIAL TRANSCRIPT IN ONE PDF DOCUMENT IN THE ATTACHMENT SECTION UNDER RESUME/CV WHEN YOU CREATE YOUR PROFILE TO APPLY. About Capital One Canada For 30 years, we’ve been on a mission to change banking for good. We challenge the traditional bank stereotype, fostering a culture where innovation thrives and bold ideas are celebrated. You’ll be e…",2026-09-24T04:53:10.997Z
Full Stack Engineer Intern,adzuna,5872889959,Rivian and Volkswagen Group Technologies,"Software Engineering Intern - Applications, Infotainment & Mobile (January - August 2027)",https://www.adzuna.ca/details/5872889959?utm_medium=api&utm_source=7a1ab04d,Full-stack,Automotive/Transportation,"About Us Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter. From operating systems to zonal controllers to cloud and connectivity solutions, we’re addressing the challenges of electric vehicles through technology that will set the standards for software-defined vehicles around the world. The road to the future is uncharted. By combining our expertise across connectivity, AI, security and more, we’ll map a n…",2026-09-24T04:53:10.997Z
Product Manager Intern,adzuna,5895616990,Appian Corporation,Product Manager Intern,https://www.adzuna.com/land/ad/5895616990?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=29C27D6FF6970A069C8D520EF6ADFC9272A967F5,Technical PM,Enterprise Software,"Here at Appian, our values of Intensity and Excellence define who we are. We set high standards and live up to them, ensuring that everything we do is done with care and quality. We approach every challenge with ambition and commitment, holding ourselves and each other accountable to achieve the best results. When you join Appian, you’ll be part of a passionate team dedicated to accomplishing hard things, together. Our Product Management team at Appian is passionate about technology - we love m…",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5895710368,Databricks,Product Management Intern (Summer 2027),https://www.adzuna.com/land/ad/5895710368?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=3A9D398456C097871B96DB091A0AAFEB27F877F2,Technical PM,General Technology,"P-982 At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to accelerating the development of medical breakthroughs. We do this by building and running the world's best data and AI infrastructure platform so our customers can use deep data insights to improve their business. As a ProductManagementIntern,you willjoin ateam that works diligently to understand and solve our customers' most challenging …",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5895653984,Databricks,Product Management Intern (Summer 2027),https://www.adzuna.com/land/ad/5895653984?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=F96423F4CBF060CCBF858564216395A8DC06FE9E,Technical PM,General Technology,"P-982 At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to accelerating the development of medical breakthroughs. We do this by building and running the world's best data and AI infrastructure platform so our customers can use deep data insights to improve their business. As a ProductManagementIntern,you willjoin ateam that works diligently to understand and solve our customers' most challenging …",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5895633769,Databricks,Product Management Intern (Summer 2027),https://www.adzuna.com/land/ad/5895633769?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=C3889083620354A247941A43005649D485B8482E,Technical PM,Enterprise Software,"P-982 At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to accelerating the development of medical breakthroughs. We do this by building and running the world's best data and AI infrastructure platform so our customers can use deep data insights to improve their business. As a ProductManagementIntern,you willjoin ateam that works diligently to understand and solve our customers' most challenging …",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5895686819,Mastercard,"Product Management Intern, Summer 2027 - United States",https://www.adzuna.com/land/ad/5895686819?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=866FF5A7BFDA42C6B87A9CE78C4534CB564D740B,Technical PM,Fintech,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5895668489,Mastercard,"Product Management Intern, Summer 2027 - United States",https://www.adzuna.com/land/ad/5895668489?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=7148C8092502CC95A3DDB136BB8BD6351ACA64A3,General,Fintech,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",2026-09-24T04:54:16.976Z
Product Manager Intern,adzuna,5528337797,"AMETEK, Inc.",Product Management - Intern,https://www.adzuna.com/land/ad/5528337797?se=_t_z_tO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=3046E60F5D29348E4B2FAF1BA81D4715FAB03BA9,Technical PM,Aerospace/Defense,"Position Summary: This position will report to the Sr. Product Manager. Seeking a motivated and detail-oriented Product Management Intern to join our New Product Team where we design and manufacture state-of-the art Phantom high-speed imaging systems from our headquarters in Wayne, NJ. This role offers a unique opportunity to work on both hardware and software projects and ultimately supports the development and launch of new products on our roadmap. You will contribute to sales enablement init…",2026-09-24T04:54:16.976Z
