source,external_id,skill_name,level
adzuna,5882510758,Databases,preferred
adzuna,5882510758,System Design,preferred
adzuna,5376829522,Rust,required
adzuna,5376829522,Backend Development,required
adzuna,5376829522,Systems Programming,required
adzuna,5886134684,Python,preferred
adzuna,5886134684,Java,preferred
adzuna,5886134684,SQL,preferred
adzuna,5886134684,Data Structures,required
adzuna,5886134684,Algorithms,required
adzuna,5886134684,System Design,required
adzuna,5886134684,Backend Development,required
adzuna,5882335378,Python,preferred
adzuna,5882335378,Java,preferred
adzuna,5882335378,Backend Development,required
adzuna,5882335378,Databases,preferred
adzuna,5882335378,REST APIs,preferred
adzuna,5882335378,System Design,preferred
adzuna,5896218734,Backend Development,required
adzuna,5896218734,Python,required
adzuna,5896218734,Java,preferred
adzuna,5896218734,JavaScript,preferred
adzuna,5896218734,SQL,required
adzuna,5896218734,REST APIs,required
adzuna,5896218734,System Design,required
adzuna,5896218734,Data Structures,required
adzuna,5896218734,Algorithms,required
adzuna,5896218734,Git,required
adzuna,5896218734,Databases,required
adzuna,5896218734,Object-Oriented Design,preferred
adzuna,5880111710,JavaScript,required
adzuna,5880111710,React,required
adzuna,5880111710,Express,required
adzuna,5880111710,Python,required
adzuna,5880111710,SQL,required
adzuna,5880111710,Databases,required
adzuna,5880111710,REST APIs,required
adzuna,5880111710,Git,required
adzuna,5880111710,System Design,preferred
adzuna,5880111710,Docker,preferred
adzuna,5890642472,JavaScript,required
adzuna,5890642472,React,required
adzuna,5890642472,Python,required
adzuna,5890642472,SQL,required
adzuna,5890642472,REST APIs,required
adzuna,5890642472,Git,required
adzuna,5890642472,System Design,preferred
adzuna,5890642472,Docker,preferred
adzuna,5896045769,JavaScript,required
adzuna,5896045769,React,required
adzuna,5896045769,Backend Development,required
adzuna,5896045769,REST APIs,required
adzuna,5896045769,Databases,required
adzuna,5896045769,Git,required
adzuna,5896045769,Docker,preferred
adzuna,5896045769,System Design,preferred
adzuna,5888839061,JavaScript,required
adzuna,5888839061,React,required
adzuna,5888839061,TypeScript,required
adzuna,5888839061,gRPC-Web,required
adzuna,5888839061,Nest.js,required
adzuna,5888839061,REST APIs,required
adzuna,5888839061,Protocol Buffers,required
adzuna,5888839061,gRPC,required
adzuna,5888839061,Python,required
adzuna,5888839061,PyTorch,required
adzuna,5888839061,TensorRT,required
adzuna,5888839061,CUDA,required
adzuna,5888839061,RabbitMQ,required
adzuna,5888839061,Docker,preferred
adzuna,5888839061,Kubernetes,preferred
adzuna,5888839061,System Design,preferred
adzuna,5888839061,Networking,preferred
adzuna,5889008238,Python,required
adzuna,5889008238,JavaScript,required
adzuna,5889008238,React,required
adzuna,5889008238,REST APIs,required
adzuna,5889008238,Databases,required
adzuna,5889008238,Git,required
adzuna,5889008238,SQL,preferred
adzuna,5889008238,Docker,preferred
adzuna,5889387861,Python,required
adzuna,5889387861,JavaScript,required
adzuna,5889387861,React,required
adzuna,5889387861,Backend Development,required
adzuna,5889387861,System Design,preferred
adzuna,5889387861,Docker,preferred
adzuna,5889387861,Git,required
adzuna,5896218652,JavaScript,required
adzuna,5896218652,React,required
adzuna,5896218652,TypeScript,preferred
adzuna,5896218652,REST APIs,required
adzuna,5896218652,SQL,required
adzuna,5896218652,Databases,required
adzuna,5896218891,JavaScript,required
adzuna,5896218891,React,required
adzuna,5896218891,TypeScript,preferred
adzuna,5896218891,REST APIs,required
adzuna,5896218891,Databases,required
adzuna,5896218891,SQL,preferred
adzuna,5896218891,Git,required
adzuna,5896218891,System Design,preferred
adzuna,5896218891,Backend Development,required
adzuna,5896218828,JavaScript,required
adzuna,5896218828,TypeScript,preferred
adzuna,5896218828,React,required
adzuna,5896218828,Python,preferred
adzuna,5896218828,SQL,required
adzuna,5896218828,REST APIs,required
adzuna,5896218828,Data Structures,required
adzuna,5896218828,Algorithms,required
adzuna,5896218828,System Design,preferred
adzuna,5896218828,Git,required
adzuna,5896218828,Docker,preferred
adzuna,5528388167,Python,required
adzuna,5528388167,JavaScript,required
adzuna,5528388167,SQL,required
adzuna,5528388167,React,required
adzuna,5528388167,REST APIs,required
adzuna,5528388167,Databases,required
adzuna,5528388167,Git,required
adzuna,5528388167,System Design,preferred
adzuna,5528388167,Algorithms,preferred
adzuna,5528388167,Data Structures,preferred
adzuna,5886140771,JavaScript,required
adzuna,5886140771,React,required
adzuna,5886140771,Java,required
adzuna,5886140771,SQL,required
adzuna,5886140771,REST APIs,required
adzuna,5886140771,Git,required
adzuna,5886140771,System Design,preferred
adzuna,5886140771,Docker,preferred
adzuna,5895338968,JavaScript,required
adzuna,5895338968,React,required
adzuna,5895338968,Backend Development,required
adzuna,5895338968,REST APIs,required
adzuna,5895338968,Databases,required
adzuna,5895338968,System Design,preferred
adzuna,5895338968,Cloud Security,preferred
adzuna,5895338968,Docker,preferred
adzuna,5847963247,JavaScript,required
adzuna,5847963247,React,required
adzuna,5847963247,Express,required
adzuna,5847963247,SQL,required
adzuna,5847963247,REST APIs,required
adzuna,5847963247,Git,required
adzuna,5847963247,Docker,preferred
adzuna,5847962113,JavaScript,required
adzuna,5847962113,React,required
adzuna,5847962113,Backend Development,required
adzuna,5847962113,REST APIs,required
adzuna,5847962113,Databases,required
adzuna,5847962113,Git,required
adzuna,5847962113,System Design,preferred
adzuna,5872889959,Python,preferred
adzuna,5872889959,C++,preferred
adzuna,5872889959,Java,preferred
adzuna,5872889959,Linux,preferred
adzuna,5872889959,Git,preferred
adzuna,5872889959,Systems Programming,preferred
adzuna,5872889959,Networking,preferred
adzuna,5872889959,System Design,preferred
adzuna,5872889959,Object-Oriented Design,preferred
